first_seen_at_timestamp,first_seen_date,first_seen_weekday,first_seen_hour,category,location,lat,lon
2025-01-08T00:32:01,2025-01-08,3,0,Radweg - Scherben,In der Nähe von Markus-Schleicher-Straße 21C,48.711762273829,9.1552936206139
2025-01-08T00:32:01,2025-01-08,3,0,Straßenbeleuchtung,Burgenlandstraße 79,48.810485837516,9.1594669297088
2025-01-08T00:32:01,2025-01-08,3,0,Gefahrenstelle,In der Nähe von St.-Helens-Steg,48.805818311501,9.1754145785988
2025-01-08T00:32:01,2025-01-08,3,0,Gehweg - Verschmutzung,Kniebisstraße 22,48.7836449,9.2048315
2025-01-08T00:32:01,2025-01-08,3,0,Straßenbeleuchtung,In der Nähe von Deckerstraße 43,48.8005606,9.2251513
2025-01-08T00:32:01,2025-01-08,3,0,Kanaldeckel,In der Nähe von Deckerstraße 35,48.800849420251,9.2239672600137
2025-01-08T00:32:01,2025-01-08,3,0,Sonstiges,In der Nähe von Deckerstraße 41,48.800471173834,9.2248192290671
2025-01-08T00:32:01,2025-01-08,3,0,Sonstiges,In der Nähe von Fasanenhofstraße 161,48.709936791087,9.153436754531
2025-01-08T00:32:01,2025-01-08,3,0,Straßenbeleuchtung,Tellstraße 6,48.83668374285,9.1645513399588
2025-01-08T00:32:01,2025-01-08,3,0,Ampel,Haldenstraße 52,48.809989929011,9.2106092525107
2025-01-08T00:32:01,2025-01-08,3,0,Schlagloch,"In der Nähe von Spitalwald Sillenbuch (Spitalwald, Gew.)",48.750402735272,9.2012197274372
2025-01-08T00:32:01,2025-01-08,3,0,Straße - Verschmutzung,In der Nähe von Rückertstraße 1,48.77387665523,9.1466062567418
2025-01-08T00:32:01,2025-01-08,3,0,Wilder Müll,In der Nähe von Ludwigsburger Straße 211,48.836982985518,9.1757566598453
2025-01-08T05:15:28,2025-01-08,3,5,Gefahrenstelle,Heubergstraße 2B,48.783756029568,9.2015148063878
2025-01-08T06:16:34,2025-01-08,3,6,Wilder Müll,In der Nähe von Rosensteinstraße 39,48.796258608824,9.1939837087973
2025-01-08T06:16:34,2025-01-08,3,6,Straßeneinlauf - verstopft,Wiesenäckerstraße 7,48.73610001211,9.2186237717016
2025-01-08T06:16:34,2025-01-08,3,6,Straße - Verschmutzung,In der Nähe von Knollstraße 28,48.797884382507,9.1922391719456
2025-01-08T06:16:34,2025-01-08,3,6,Straße - Verschmutzung,In der Nähe von Wiesenäckerstraße 34,48.736474634395,9.2187921780339
2025-01-08T07:15:12,2025-01-08,3,7,Gefahrenstelle,Liebknechtstraße 50,48.722059860033,9.1092474408539
2025-01-08T07:15:12,2025-01-08,3,7,Wilder Müll,Talstraße 56,48.784642492876,9.2137976004636
2025-01-08T09:15:49,2025-01-08,3,9,Wilder Müll,In der Nähe von Tannenstraße 3A,48.763677,9.1658222
2025-01-08T09:15:49,2025-01-08,3,9,Sonstiges,In der Nähe von Dinghofstraße 24,48.724852398768,9.1485968468808
2025-01-08T09:15:49,2025-01-08,3,9,Wilder Müll,Karl-Kloß-Straße 17,48.759658256388,9.1597685973222
2025-01-08T09:15:49,2025-01-08,3,9,Wilder Müll,In der Nähe von Schöpfbrunnen (Am Schnarrenberg),48.827264816137,9.2071594131422
2025-01-08T09:15:49,2025-01-08,3,9,Wilder Müll,In der Nähe von Am Schnarrenberg 17,48.827210043455,9.2010559358173
2025-01-08T10:15:49,2025-01-08,3,10,Radweg - Verschmutzung,In der Nähe von Inselstraße 145,48.779494710489,9.2481540910006
2025-01-08T10:15:49,2025-01-08,3,10,Radweg - Verschmutzung,In der Nähe von In der Au 16C,48.775878145258,9.2509329192333
2025-01-08T10:15:49,2025-01-08,3,10,Schlagloch,In der Nähe von Am Westkai 35/1,48.760676352591,9.2572691683819
2025-01-08T11:14:54,2025-01-08,3,11,Gehweg - Verschmutzung,In der Nähe von Charlottenplatz 1,48.776482270883,9.1829473113565
2025-01-08T11:14:54,2025-01-08,3,11,Wilder Müll,In der Nähe von Altglas-Container (Korntaler Straße / Mercatorweg),48.841771770662,9.1446314645816
2025-01-08T12:17:17,2025-01-08,3,12,Wilder Müll,Nebelhornstraße 8,48.780814684811,9.2516780456816
2025-01-08T12:17:17,2025-01-08,3,12,Sonstiges,Marktplatz (M) 1,48.774798521316,9.178163841504
2025-01-08T13:17:12,2025-01-08,3,13,Sonstiges,In der Nähe von Mailänder Platz 23,48.7900582,9.1839232
2025-01-08T13:17:12,2025-01-08,3,13,Wilder Müll,Mannheimer Straße 46,48.810772307087,9.1954393751755
2025-01-08T13:17:12,2025-01-08,3,13,Sonstiges,Fürfelder Straße 10,48.831056479639,9.1910217007518
2025-01-08T13:17:12,2025-01-08,3,13,Ampel,In der Nähe von Hafenbahnstraße 20A,48.763255368536,9.2645136178619
2025-01-08T15:15:46,2025-01-08,3,15,Wilder Müll,Oberstdorfer Straße 23,48.782647187461,9.2528987489597
2025-01-08T15:15:46,2025-01-08,3,15,Sonstiges,Thomas-Mann-Straße 36,48.805612266141,9.1441164567985
2025-01-08T16:16:10,2025-01-08,3,16,Straßeneinlauf - verstopft,Korntaler Straße 69,48.843895033574,9.1539849191845
2025-01-08T17:14:58,2025-01-08,3,17,Gehweg - Verschmutzung,In der Nähe von Altglas-Container (Wagenburgstraße / Ameisenbergstraße),48.779403982917,9.1960275791325
2025-01-08T18:16:25,2025-01-08,3,18,Gehweg - Verschmutzung,In der Nähe von Wildunger Straße 98,48.803887256712,9.2314627026293
2025-01-08T18:16:25,2025-01-08,3,18,Kanaldeckel,In der Nähe von Schemppstraße 86,48.739137165655,9.2195264278754
2025-01-08T19:14:37,2025-01-08,3,19,Gehweg - Schäden,In der Nähe von Amstetter Straße 78,48.75512523353,9.2584068111333
2025-01-08T20:15:45,2025-01-08,3,20,Sonstiges,Johannesstraße 95,48.781826639514,9.1581101479537
2025-01-08T21:15:38,2025-01-08,3,21,Wilder Müll,In der Nähe von Altglas-Container (Sparrhärmlingweg / Am Römerkastell),48.812326995801,9.2062574674522
2025-01-08T21:15:38,2025-01-08,3,21,Sonstiges,In der Nähe von Altglas-Container (Sparrhärmlingweg / Am Römerkastell),48.812334206623,9.2063283859532
2025-01-08T22:15:12,2025-01-08,3,22,Straßenbeleuchtung,In der Nähe von Lauftreff Ecke Elbe- / Austraße (Elbestraße),48.827273722358,9.2114081168388
